url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcZ4_1MJ,9059,23713,23713,31883,777741,485683,3172508,3001168,334,334,194,171,0,163,23713,23746,8819,9317,23650,73,0.0243759155,3073,2202,29882,29882,7671,23642,3,0,870,
https://www.samsung.com/uk/cs_ga3/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcVS_1FR,5171,19923,19923,29750,841466,500864,2386404,1818367,350,350,206,190,0,160,19923,19961,7694,8024,19888,69,0,3633,1721,,,7692,19875,13,0,857,
https://www.samsung.com/uk/cs_ga3/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcG3_1FT,5244,18371,18371,27576,862338,482783,2386734,1755884,351,351,194,191,0,160,18371,18413,4117,4410,18344,69,0,2708,1880,,,4117,18333,13,0,852,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc0Q_1FZ,8649,20189,20189,29439,771571,428794,2381569,2209742,326,326,164,160,2,164,20189,20239,3873,4095,20155,64,0.0351104736,3163,2102,25174,25174,3873,20146,6,0,853,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc0F_1FJ,8962,25134,25134,36479,913788,509284,3492165,2971443,379,379,200,212,0,167,25134,25174,9360,9898,25059,82,0.0393066406,2634,2086,34651,34651,9359,25051,3,0,858,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc53_1G0,9384,20371,20371,29744,772308,407755,2381918,2210055,325,325,152,160,2,163,20371,20413,5699,5924,20340,67,0.0351104736,3223,2211,25479,25479,5698,20328,6,0,995,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc9C_1FY,8878,20347,20347,29748,771883,414347,2381520,2209622,326,326,156,160,2,164,20347,20383,6766,7115,20310,66,0.0351104736,3199,2110,24080,24080,6765,20299,6,0,868,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcDC_1F5,11918,25859,25859,37897,920112,504897,3507222,2986516,379,379,196,213,0,166,25859,25903,8455,8892,25795,84,0.0393066406,2858,2314,35879,35879,8454,25784,3,0,1129,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcS2_1FV,10194,22913,22913,30052,789498,516886,2382564,2211239,328,328,203,163,2,163,22913,22965,5709,5928,22875,69,0.0351104736,3303,2189,27564,27564,5709,22866,6,0,926,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc0X_1G2,10142,21781,21781,31307,768462,458265,2381703,2207372,325,325,178,160,2,163,21781,21822,5370,5585,21759,66,0.0351104736,3184,2086,27462,27462,5368,21757,6,0,878,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcPQ_1FC,9206,23248,23248,31301,940668,577939,2694978,2290425,379,379,218,211,2,166,23248,23286,7703,7904,23210,72,0.0351104736,3213,2232,30342,30342,7703,23198,6,0,884,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcPG_1KN,7042,23687,23687,33887,908444,542937,3477917,2924776,371,371,213,210,0,161,23687,23726,8784,9334,23613,75,0.0243759155,2590,2051,,,8082,23595,3,0,872,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcFQ_1FB,11263,21205,21205,31764,870360,398210,2684539,2130822,357,357,155,196,2,159,21205,21241,5744,5947,21171,70,0.0351104736,3550,2312,29754,29754,5744,21168,6,0,1074,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcZP_1FE,9129,20775,20775,30400,866655,446498,2639518,2234207,358,358,168,192,2,164,20775,20802,6561,6752,20733,70,0.0351104736,3259,2271,28772,28772,6561,20720,6,0,852,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcF8_1FW,12015,24007,24007,34043,893893,508914,2685530,2131974,361,361,198,198,2,161,24007,24079,5909,6099,23962,69,0.0351104736,3248,2115,32995,32995,5907,23951,6,0,887,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcFG_1FX,11261,21251,21251,32277,875512,386355,2684342,2130393,358,358,144,196,2,160,21251,21288,7928,8181,21212,69,0.0351104736,3269,2110,30963,30963,7928,21202,6,0,847,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc5K_1M1,4553,18245,18245,25787,772343,463398,2085476,1834590,324,324,187,162,0,162,18245,18284,4416,4723,18216,70,0,3149,2280,22928,22928,4415,18201,13,0,1300,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc1Y_1KZ,5107,18901,18901,26193,772874,484672,2085570,1835147,324,324,197,162,0,162,18901,18945,7840,8218,18868,72,0,3763,1753,24057,24057,7840,18852,13,0,853,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcTG_1M0,5091,17874,17874,25701,766748,469232,2085528,1835058,321,321,189,162,0,159,17874,17918,5806,6141,17838,66,0,2968,1996,22644,22644,5805,17830,13,0,1100,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcHA_1ME,6508,22352,22352,32650,891673,500246,3474585,2920952,367,367,197,205,0,162,22352,22399,8577,9079,22278,72,0.0243759155,2645,2024,,,7869,22268,3,0,874,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcYM_1KR,5467,17229,17229,25955,852108,460935,2401506,1926190,356,356,187,192,0,164,17229,17270,4053,4364,17206,70,0.0290527344,2632,1779,,,4053,17196,13,0,860,
