url, result, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcPW_5G5,18140,18140,31444,880961,412666,2605812,2129058,370,370,167,205,0,165,18140,18180,6491,7048,18103,80,0.0290527344,4433,4030,,,6491,18091,13,0,835,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcR7_5H0,22695,22695,38307,1016209,561646,3194870,2579711,410,410,221,235,0,175,22695,22888,8817,9346,22639,91,0.0243759155,3353,2767,34654,34654,7409,22629,3,0,844,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcF5_5GX,27425,27425,41115,1006630,589264,4057516,3445116,410,410,236,238,0,172,27425,27480,8899,9390,27369,94,0.0243759155,3015,2681,39828,39828,7447,27357,3,0,890,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcGR_5FR,27980,27980,40234,991951,578974,3768103,3260232,404,404,230,235,0,169,27980,28056,8046,8464,27882,95,0.0393066406,4922,4583,,,8046,27880,3,0,1189,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc86_5FT,23161,23161,34990,823384,514792,2649936,2419384,350,350,200,182,2,166,23161,23201,5818,6049,23121,77,0.0351104736,3350,2213,33510,33510,5817,23109,6,0,915,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc9F_5F9,26831,26831,40529,981955,552669,3775890,3272295,404,404,217,235,0,169,26831,26897,7702,8189,26744,94,0.0393066406,4987,4529,,,7700,26727,3,0,1086,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc3Z_5FE,27184,27184,40093,1026129,592825,3854113,3347543,412,412,224,240,0,172,27184,27209,7323,7797,27099,94,0.0393066406,4827,4364,,,7323,27090,3,0,957,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc70_5FF,28358,28358,40550,1022491,610570,3842703,3335156,410,410,233,239,0,171,28358,28485,7598,8123,28283,95,0.0393066406,4699,4304,,,7596,28281,3,0,838,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc0S_5G3,26604,26604,40265,991435,523766,3754882,3248316,410,410,210,240,0,170,26604,26650,7176,7787,26512,91,0.0393066406,4698,4315,,,7176,26497,3,0,852,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcHS_5GF,23924,23924,40270,813005,449973,2650725,2419387,350,350,176,182,2,166,23924,23972,6455,6674,23899,74,0.0351104736,5837,2490,30803,30803,6455,23891,6,0,1201,
